age,workclass,education-num,marital-status,occupation,capital-gain,capital-loss,hours-per-week,native-country,income
"(38.0, 42.0]", State-gov,"(10.0, 13.0]", Never-married, Adm-clerical,2174,0,40, United-States,0
"(46.0, 51.0]", Self-emp-not-inc,"(10.0, 13.0]", Married-civ-spouse, Exec-managerial,0,0,13, United-States,0
"(35.0, 38.0]", Private,"(0.999, 9.0]", Divorced, Handlers-cleaners,0,0,40, United-States,0
"(51.0, 57.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Handlers-cleaners,0,0,40, United-States,0
"(51.0, 57.0]", Self-emp-not-inc,"(0.999, 9.0]", Married-civ-spouse, Exec-managerial,0,0,45, United-States,1
"(38.0, 42.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Exec-managerial,5178,0,40, United-States,1
"(35.0, 38.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Exec-managerial,0,0,80, United-States,1
"(27.0, 31.0]", State-gov,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,40, India,1
"(31.0, 35.0]", Private,"(10.0, 13.0]", Never-married, Sales,0,0,50, United-States,0
"(31.0, 35.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Transport-moving,0,0,45, Mexico,0
"(23.0, 27.0]", Self-emp-not-inc,"(0.999, 9.0]", Never-married, Farming-fishing,0,0,35, United-States,0
"(31.0, 35.0]", Private,"(0.999, 9.0]", Never-married, Machine-op-inspct,0,0,40, United-States,0
"(35.0, 38.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Sales,0,0,50, United-States,0
"(38.0, 42.0]", Private,"(13.0, 16.0]", Married-civ-spouse, Prof-specialty,0,0,60, United-States,1
"(31.0, 35.0]", Federal-gov,"(0.999, 9.0]", Married-civ-spouse, Farming-fishing,0,0,40, United-States,0
"(42.0, 46.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Transport-moving,0,2042,40, United-States,0
"(51.0, 57.0]", Local-gov,"(10.0, 13.0]", Married-civ-spouse, Tech-support,0,0,40, United-States,1
"(16.999, 23.0]", Private,"(0.999, 9.0]", Never-married, Craft-repair,0,0,40, United-States,0
"(38.0, 42.0]", Private,"(0.999, 9.0]", Divorced, Exec-managerial,0,0,80, United-States,0
"(46.0, 51.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,0,0,40, United-States,0
"(16.999, 23.0]", Local-gov,"(10.0, 13.0]", Never-married, Protective-serv,0,0,52, United-States,0
"(16.999, 23.0]", Private,"(9.0, 10.0]", Never-married, Sales,0,0,44, United-States,0
"(42.0, 46.0]", Private,"(10.0, 13.0]", Divorced, Exec-managerial,0,1408,40, United-States,0
"(27.0, 31.0]", Federal-gov,"(9.0, 10.0]", Married-civ-spouse, Adm-clerical,0,0,40, United-States,0
"(16.999, 23.0]", State-gov,"(9.0, 10.0]", Married-civ-spouse, Other-service,0,0,15, United-States,0
"(46.0, 51.0]", Private,"(0.999, 9.0]", Never-married, Machine-op-inspct,0,0,40, Puerto-Rico,0
"(16.999, 23.0]", Private,"(9.0, 10.0]", Never-married, Machine-op-inspct,0,0,40, United-States,0
"(46.0, 51.0]", Self-emp-not-inc,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,40, United-States,0
"(27.0, 31.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Machine-op-inspct,0,0,43, United-States,0
"(51.0, 57.0]", Self-emp-not-inc,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,40, United-States,0
"(23.0, 27.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Tech-support,0,0,50, United-States,0
"(23.0, 27.0]", Private,"(0.999, 9.0]", Never-married, Handlers-cleaners,0,0,35, United-States,0
"(51.0, 57.0]", Federal-gov,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,40, United-States,1
"(51.0, 57.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Machine-op-inspct,0,0,38, United-States,0
"(38.0, 42.0]", State-gov,"(10.0, 13.0]", Married-civ-spouse, Craft-repair,0,0,40, United-States,0
"(27.0, 31.0]", Private,"(10.0, 13.0]", Never-married, Prof-specialty,0,0,43, United-States,0
"(46.0, 51.0]", Federal-gov,"(10.0, 13.0]", Divorced, Exec-managerial,0,0,55, United-States,1
"(46.0, 51.0]", Self-emp-inc,"(0.999, 9.0]", Divorced, Exec-managerial,0,0,60, United-States,0
"(42.0, 46.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Tech-support,0,0,40, United-States,1
"(42.0, 46.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Machine-op-inspct,0,0,40, Mexico,0
"(31.0, 35.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Other-service,0,0,40, Puerto-Rico,0
"(38.0, 42.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Adm-clerical,0,0,48, United-States,0
"(27.0, 31.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Machine-op-inspct,5013,0,40, United-States,0
"(27.0, 31.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Sales,2407,0,40, United-States,0
"(46.0, 51.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Transport-moving,0,0,40, United-States,0
"(38.0, 42.0]", Private,"(13.0, 16.0]", Married-civ-spouse, Prof-specialty,0,0,45, United-States,1
"(27.0, 31.0]", Private,"(9.0, 10.0]", Divorced, Tech-support,0,0,58, United-States,0
"(35.0, 38.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,0,0,40, United-States,0
"(46.0, 51.0]", Self-emp-inc,"(9.0, 10.0]", Married-civ-spouse, Exec-managerial,0,0,50, United-States,1
"(16.999, 23.0]", Private,"(9.0, 10.0]", Never-married, Prof-specialty,0,0,32, United-States,0
"(27.0, 31.0]", Self-emp-not-inc,"(10.0, 13.0]", Married-civ-spouse, Sales,0,0,70, United-States,1
"(16.999, 23.0]", Private,"(9.0, 10.0]", Never-married, Machine-op-inspct,0,0,40, United-States,0
"(57.0, 90.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Prof-specialty,0,0,20, United-States,0
"(23.0, 27.0]", Private,"(0.999, 9.0]", Never-married, Other-service,0,0,40, Mexico,0
"(38.0, 42.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Adm-clerical,0,0,40, United-States,0
"(27.0, 31.0]", Local-gov,"(0.999, 9.0]", Married-civ-spouse, Farming-fishing,0,0,40, United-States,0
"(16.999, 23.0]", Private,"(0.999, 9.0]", Never-married, Sales,0,0,30, United-States,0
"(51.0, 57.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Other-service,0,0,40, Cuba,0
"(57.0, 90.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Sales,0,0,48, United-States,0
"(46.0, 51.0]", Local-gov,"(0.999, 9.0]", Married-civ-spouse, Protective-serv,0,0,40, United-States,1
"(31.0, 35.0]", Private,"(13.0, 16.0]", Married-civ-spouse, Prof-specialty,0,0,50, United-States,0
"(27.0, 31.0]", Private,"(0.999, 9.0]", Never-married, Sales,0,0,40, United-States,0
"(51.0, 57.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,40, United-States,0
"(31.0, 35.0]", Local-gov,"(10.0, 13.0]", Married-civ-spouse, Protective-serv,0,0,40, United-States,1
"(27.0, 31.0]", Local-gov,"(9.0, 10.0]", Never-married, Handlers-cleaners,0,0,50, United-States,0
"(46.0, 51.0]", Self-emp-not-inc,"(13.0, 16.0]", Married-civ-spouse, Prof-specialty,0,1902,60, United-States,1
"(35.0, 38.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Sales,0,0,48, United-States,1
"(31.0, 35.0]", Federal-gov,"(0.999, 9.0]", Never-married, Other-service,0,0,40, United-States,0
"(57.0, 90.0]", Private,"(13.0, 16.0]", Married-civ-spouse, Exec-managerial,0,0,40, United-States,1
"(42.0, 46.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Exec-managerial,15024,0,60, United-States,1
"(27.0, 31.0]", Private,"(0.999, 9.0]", Never-married, Craft-repair,0,0,40, United-States,0
"(31.0, 35.0]", Self-emp-inc,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,7688,0,40, United-States,1
"(27.0, 31.0]", Private,"(0.999, 9.0]", Never-married, Handlers-cleaners,0,0,40, United-States,0
"(38.0, 42.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Handlers-cleaners,0,0,40, United-States,0
"(23.0, 27.0]", Private,"(10.0, 13.0]", Never-married, Sales,0,0,40, United-States,0
"(35.0, 38.0]", Private,"(13.0, 16.0]", Married-civ-spouse, Prof-specialty,0,0,40, United-States,1
"(51.0, 57.0]", Self-emp-not-inc,"(0.999, 9.0]", Married-civ-spouse, Other-service,0,1887,50, Canada,1
"(51.0, 57.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Handlers-cleaners,0,0,50, United-States,0
"(51.0, 57.0]", Self-emp-inc,"(9.0, 10.0]", Married-civ-spouse, Sales,0,0,50, United-States,0
"(46.0, 51.0]", Local-gov,"(10.0, 13.0]", Married-civ-spouse, Craft-repair,0,0,40, United-States,1
"(51.0, 57.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Sales,0,0,56, United-States,0
"(16.999, 23.0]", Private,"(0.999, 9.0]", Never-married, Craft-repair,0,0,41, United-States,0
"(38.0, 42.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Exec-managerial,0,0,60, United-States,0
"(27.0, 31.0]", Private,"(10.0, 13.0]", Never-married, Exec-managerial,0,0,40, Germany,0
"(27.0, 31.0]", State-gov,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,50, United-States,1
"(16.999, 23.0]", Private,"(9.0, 10.0]", Never-married, Other-service,0,0,35, United-States,0
"(27.0, 31.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Adm-clerical,0,0,40, United-States,1
"(38.0, 42.0]", Private,"(9.0, 10.0]", Divorced, Craft-repair,0,0,40, United-States,0
"(35.0, 38.0]", Self-emp-not-inc,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,4386,0,35, United-States,0
"(35.0, 38.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Sales,0,0,50, United-States,0
"(35.0, 38.0]", Federal-gov,"(13.0, 16.0]", Married-civ-spouse, Prof-specialty,0,0,40, Iran,1
"(42.0, 46.0]", Self-emp-not-inc,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,0,0,60, United-States,0
"(16.999, 23.0]", Private,"(9.0, 10.0]", Never-married, Sales,0,0,20, United-States,0
"(46.0, 51.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Craft-repair,0,0,40, United-States,1
"(57.0, 90.0]", Self-emp-inc,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,0,0,40, United-States,0
"(16.999, 23.0]", Private,"(9.0, 10.0]", Never-married, Other-service,0,0,30, Mexico,0
"(57.0, 90.0]", Private,"(9.0, 10.0]", Never-married, Tech-support,0,0,40, United-States,0
"(16.999, 23.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Other-service,0,0,24, United-States,0
"(57.0, 90.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,0,2179,40, United-States,0
"(16.999, 23.0]", Private,"(0.999, 9.0]", Never-married, Craft-repair,0,0,35, United-States,0
"(46.0, 51.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Craft-repair,0,0,46, United-States,0
"(16.999, 23.0]", Private,"(10.0, 13.0]", Never-married, Handlers-cleaners,0,0,40, United-States,0
"(57.0, 90.0]", Self-emp-not-inc,"(9.0, 10.0]", Separated, Sales,0,1816,2, United-States,0
"(27.0, 31.0]", Private,"(0.999, 9.0]", Divorced, Craft-repair,0,0,60, United-States,0
"(38.0, 42.0]", Private,"(10.0, 13.0]", Separated, Other-service,0,0,50, United-States,0
"(42.0, 46.0]", Self-emp-not-inc,"(13.0, 16.0]", Married-civ-spouse, Sales,0,0,40, United-States,1
"(38.0, 42.0]", Federal-gov,"(10.0, 13.0]", Never-married, Exec-managerial,0,0,42, United-States,0
"(42.0, 46.0]", State-gov,"(13.0, 16.0]", Widowed, Protective-serv,0,0,40, United-States,0
"(16.999, 23.0]", Private,"(0.999, 9.0]", Never-married, Handlers-cleaners,0,0,16, United-States,0
"(23.0, 27.0]", Private,"(0.999, 9.0]", Never-married, Other-service,0,1980,40, United-States,0
"(27.0, 31.0]", State-gov,"(0.999, 9.0]", Married-civ-spouse, Protective-serv,0,0,40, United-States,0
"(46.0, 51.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Sales,0,1977,40, United-States,1
"(23.0, 27.0]", Private,"(10.0, 13.0]", Never-married, Craft-repair,0,0,50, United-States,0
"(27.0, 31.0]", State-gov,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,40, United-States,1
"(16.999, 23.0]", Private,"(0.999, 9.0]", Never-married, Craft-repair,0,0,40, United-States,0
"(31.0, 35.0]", Private,"(0.999, 9.0]", Never-married, Handlers-cleaners,0,0,40, United-States,0
"(16.999, 23.0]", Private,"(0.999, 9.0]", Never-married, Other-service,0,0,12, United-States,0
"(31.0, 35.0]", Private,"(10.0, 13.0]", Married-civ-spouse, Prof-specialty,0,0,65, United-States,0
"(42.0, 46.0]", Local-gov,"(9.0, 10.0]", Married-civ-spouse, Exec-managerial,0,0,38, United-States,1
"(27.0, 31.0]", Private,"(9.0, 10.0]", Never-married, Craft-repair,0,0,45, United-States,0
"(38.0, 42.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Machine-op-inspct,0,0,40, Mexico,1
"(35.0, 38.0]", Federal-gov,"(9.0, 10.0]", Married-civ-spouse, Adm-clerical,0,0,42, United-States,1
"(31.0, 35.0]", Private,"(0.999, 9.0]", Married-civ-spouse, Adm-clerical,0,0,40, United-States,0
"(57.0, 90.0]", State-gov,"(13.0, 16.0]", Married-civ-spouse, Prof-specialty,0,0,1, United-States,1
"(23.0, 27.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Machine-op-inspct,0,0,40, United-States,0
"(38.0, 42.0]", Local-gov,"(10.0, 13.0]", Married-civ-spouse, Craft-repair,0,0,40, United-States,0
"(46.0, 51.0]", Private,"(9.0, 10.0]", Married-civ-spouse, Tech-support,0,0,45, United-States,0
