Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
393,-2.595499719,1.311591816,1.323081307,-1.127848902,0.307467369,-0.518201825,-2.098816632,-4.382468958,1.724534556,0.198679922,0.381591794,0.780889732,-0.247810882,0.0469023,2.501394702,-1.432126842,0.732979441,-0.183239271,1.075630877,-1.148674304,3.980383833,-0.835844602,-1.786328942,0.485594402,-0.53515806,-0.684143186,-0.422542032,0.047078038,64.04,0.0
88672,-3.859880787,2.632881312,-5.26426531,3.446113147,-0.675231057,-1.904959454,-3.291040869,-0.985766041,-1.168114167,-3.93629417,4.256564487,-6.600654481,0.005626376,-9.958530919,2.471357904,-5.70014142,-6.388092738,-1.838159301,2.993173507,-0.178626358,1.664119015,0.785075272,0.068412486,0.778960916,-0.86316592,-0.006809614,-1.06573404,1.773326446,1.18,1.0
64093,-6.133986948,2.941499449,-5.593985568,3.258845223,-5.315512219,-0.637327763,-4.476488045,1.695993587,-1.606743151,-5.11725921,3.97722224,-8.066096093,-0.760887592,-8.660770959,2.22023799,-6.237596542,-11.04638166,-4.155879368,1.763610874,-0.815086316,0.868339851,0.793736498,0.217346587,-0.021985065,0.145881914,0.665087661,-1.684186049,0.310195463,294.9,1.0
2226,1.033562872,1.040947868,-1.589245397,1.516850965,1.418628374,0.000786794,0.399255509,0.233746192,-0.373804854,-1.721019285,1.944365738,-0.396756265,-1.018101857,-3.089048312,2.218853248,-0.290373234,4.072971756,-0.625410461,-2.507457522,-0.227692261,-0.076717223,-0.011596404,-0.033371118,-0.981530259,0.473201784,-0.183574919,0.106538925,0.084266209,3.03,0.0
63578,-0.639191253,-0.085594789,1.265451959,1.401165732,-0.260542079,1.009794578,1.301998971,-0.135257523,-0.431520922,-0.091353373,-0.921051996,-0.613815529,0.198913056,0.016087005,2.206263775,-0.527140628,-0.05727868,0.448655661,1.164435465,0.861306751,0.340330753,0.760169762,0.353376975,-0.778892743,-0.07068116,-0.033354644,-0.061962422,-0.062686532,290.18,1.0
2571,0.947918806,-1.607478087,0.216267284,-2.631640199,-1.075606273,0.60296942,-0.848788535,0.316503976,1.09930243,-1.049581634,0.748587535,1.183855126,0.130801582,0.061291656,2.364537653,-3.950310666,1.693672258,-0.599048875,-1.290561899,-0.3860054,-0.134236317,0.230536017,0.002686097,-0.632420026,0.214065059,-0.639123051,0.155571059,0.041817181,139.97,0.0
2571,0.947918806,-1.607478087,0.216267284,-2.631640199,-1.075606273,0.60296942,-0.848788535,0.316503976,1.09930243,-1.049581634,0.748587535,1.183855126,0.130801582,0.061291656,2.364537653,-3.950310666,1.693672258,-0.599048875,-1.290561899,-0.3860054,-0.134236317,0.230536017,0.002686097,-0.632420026,0.214065059,-0.639123051,0.155571059,0.041817181,139.97,0.0
36,-1.169422458,1.15831387,1.406799536,0.860188897,-0.103809889,0.12203478,0.264451377,-0.108766589,-0.181976611,0.659592649,0.45631689,-0.09776271,-0.346158686,0.210182391,2.345229333,-1.172647683,0.860018874,-1.154224266,0.858768026,-0.120560178,0.024497904,-0.120153158,0.212986045,0.087535763,-0.946529684,0.226700389,-0.810100768,0.234956581,7.99,0.0
151916,-5.488032171,3.329560681,-5.996296087,3.601719636,-2.023926036,-1.737393477,-4.39685932,0.228394068,-1.675883923,-3.991784632,3.737037681,-6.15018667,0.288738071,-8.760694519,2.344651195,-5.145637851,-6.293478628,-2.137186601,2.995244755,-0.551121115,1.71963126,0.34320916,0.133583642,0.833339534,-0.839775663,0.502009639,-1.937472846,1.521218373,0.01,1.0
2487,0.981212506,-1.088285857,1.324921161,-0.424197569,-1.152956866,1.435015309,-1.450780958,0.581700984,-0.323739593,0.384379931,0.714601396,0.592824169,0.873316211,-0.313133307,2.533660621,-2.057907057,0.906941224,-0.371605554,-2.944518301,-0.447315738,0.038663548,0.659295242,0.161075019,-0.589500822,-0.315863696,0.805456511,0.092045002,0.034440134,74,0.0
393,-2.595499719,1.311591816,1.323081307,-1.127848902,0.307467369,-0.518201825,-2.098816632,-4.382468958,1.724534556,0.198679922,0.381591794,0.780889732,-0.247810882,0.0469023,2.501394702,-1.432126842,0.732979441,-0.183239271,1.075630877,-1.148674304,3.980383833,-0.835844602,-1.786328942,0.485594402,-0.53515806,-0.684143186,-0.422542032,0.047078038,64.04,0.0
