Survived,Pclass,Sex,SibSp,Parch,Embarked,Decade
0,3,male,1,0,S,2
1,1,female,1,0,C,3
1,3,female,0,0,S,2
1,1,female,1,0,S,3
0,3,male,0,0,S,3
0,1,male,0,0,S,5
0,3,male,3,1,S,0
1,3,female,0,2,S,2
1,2,female,1,0,C,1
1,3,female,1,1,S,0
1,1,female,0,0,S,5
0,3,male,0,0,S,2
0,3,male,1,5,S,3
0,3,female,0,0,S,1
1,2,female,0,0,S,5
0,3,male,4,1,Q,0
0,3,female,1,0,S,3
0,2,male,0,0,S,3
1,2,male,0,0,S,3
1,3,female,0,0,Q,1
1,1,male,0,0,S,2
0,3,female,3,1,S,0
1,3,female,1,5,S,3
0,1,male,3,2,S,1
0,1,male,0,0,C,4
0,2,male,0,0,S,6
0,1,male,1,0,C,2
0,1,male,1,0,S,4
0,3,male,0,0,S,2
0,3,female,2,0,S,1
1,3,female,1,0,C,1
0,3,female,1,0,S,4
0,2,female,1,0,S,2
1,2,female,1,2,C,0
1,3,female,0,0,Q,1
0,3,female,1,0,S,1
0,3,male,4,1,S,0
0,3,male,0,0,S,2
1,1,female,1,0,C,4
1,2,female,1,0,S,2
0,1,male,0,1,C,6
1,2,female,0,0,S,2
0,3,male,0,0,C,2
1,2,female,1,2,S,0
0,3,male,5,2,S,1
0,3,male,0,0,C,2
0,1,male,1,0,S,4
0,3,male,3,2,S,0
1,2,female,0,0,S,2
0,3,male,0,0,S,1
1,3,female,4,2,S,1
0,3,male,2,0,S,2
0,2,male,0,0,S,3
0,3,female,5,2,S,1
0,2,male,0,0,S,2
0,3,male,1,0,C,2
1,3,male,0,0,S,3
0,3,male,0,0,S,2
1,2,male,0,2,S,0
1,3,female,0,0,S,3
0,3,male,0,0,S,2
1,3,male,0,0,S,2
0,1,male,0,0,S,2
1,2,female,0,0,S,1
1,3,female,3,0,S,3
0,3,male,1,3,S,1
1,1,female,3,2,S,2
0,3,male,0,0,S,2
0,3,male,0,0,S,2
0,3,male,0,0,S,2
0,1,male,1,0,S,4
0,3,male,1,2,S,2
0,3,male,0,0,S,5
0,1,male,0,0,C,7
1,1,male,0,1,C,2
1,2,female,0,1,S,3
0,2,male,1,0,S,3
0,3,female,0,0,S,2
0,1,male,0,1,S,2
0,3,male,0,0,S,3
0,3,male,2,0,S,3
0,3,male,0,0,S,2
1,3,female,0,0,S,2
0,3,male,0,0,S,3
0,1,male,0,0,S,4
0,3,female,1,0,C,1
0,3,male,0,0,S,2
0,3,female,1,0,S,2
0,3,female,0,0,C,1
0,3,male,0,0,S,2
0,3,male,0,0,Q,7
0,2,male,1,0,S,2
0,1,male,0,1,C,2
0,3,female,4,2,S,0
0,2,male,2,0,S,2
0,2,male,1,0,C,3
1,2,female,0,0,S,3
0,1,male,0,1,S,5
1,3,male,1,0,C,1
1,3,male,0,0,S,2
0,3,male,0,0,S,4
0,3,male,0,0,C,3
0,3,male,0,0,S,2
0,3,female,1,0,S,4
1,2,female,1,0,S,2
0,2,male,0,0,S,2
0,2,male,0,0,C,2
1,1,female,0,2,S,1
0,1,male,1,0,S,3
0,3,male,0,0,S,1
0,1,male,0,0,C,2
1,3,female,0,0,S,2
1,3,female,1,0,S,2
