stdntid,gender,race,birthmonth,birthday,birthyear,gkclasstype,gkclasssize,gkschid,gksurban,gktchid,gkfreelunch,gktreadss,gktmathss,gktlistss,g1classtype,g1classsize,g1schid,g1surban,g1tchid,g1freelunch,g1treadss,g1tmathss,g1tlistss,g2classtype,g2classsize,g2schid,g2surban,g2tchid,g2freelunch,g2treadss,g2tmathss,g2tlistss,g3classtype,g3classsize,g3schid,g3surban,g3tchid,g3freelunch,g3treadss,g3tmathss,g3tlangss,g3tlistss,,
10000,1,1,1,22,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,170295,3,17029507,1,516,578,601,3,23,170295,3,17029510,2,547,577,572,3,26,170295,3,17029514,2,583,586,606,584,,
10001,1,1,2,20,1980,3,24,169229,2,16922904,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10002,2,2,7,21,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,205492,2,20549213,NA,577,570,600,603,,
10003,1,1,5,28,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,257899,3,25789906,2,451,507,584,2,22,257899,3,25789915,2,562,563,581,2,21,257899,3,25789916,2,614,614,606,652,,
10004,2,2,1,2,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,244796,1,24479610,1,579,584,572,3,28,244796,1,24479613,1,616,624,627,597,,
10005,1,2,1,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,244799,2,24479909,1,545,570,575,3,27,244799,2,24479914,1,587,603,611,599,,
10006,2,2,2,5,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,244774,1,24477418,1,593,550,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10007,1,2,3,15,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,244839,2,24483918,2,644,651,657,634,,
10008,2,2,4,23,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,244697,1,24469708,1,483,526,529,2,29,244697,1,24469712,1,549,572,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10009,2,2,4,24,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,244755,1,24475522,1,585,589,650,652,,
10010,1,2,4,28,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,244697,1,24469709,1,516,505,556,3,24,244697,1,24469716,1,586,563,593,3,26,244697,1,24469720,1,599,601,622,603,,
10011,2,2,6,2,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,244697,1,24469709,1,433,463,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10012,1,2,1,3,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,244764,1,24476407,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10013,1,2,8,24,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,244764,1,24476408,1,571,563,570,3,22,244764,1,24476409,1,590,634,641,599,,
10014,2,2,7,7,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,244799,2,24479909,1,536,574,540,3,27,244799,2,24479914,1,572,565,618,577,,
10015,2,2,8,25,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,205492,2,20549205,1,444,542,543,3,22,205492,2,20549209,1,512,504,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10016,2,1,3,12,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,215533,3,21553325,2,NA,NA,NA,NA,,
10017,2,1,7,25,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,193423,3,19342314,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10018,1,1,7,4,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,257899,3,25789919,1,583,543,568,586,,
10019,2,2,10,16,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,244839,2,24483920,1,540,549,554,561,,
10020,2,2,12,11,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,128079,3,12807909,2,614,626,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10021,1,2,9,17,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,244697,1,24469722,1,NA,NA,NA,NA,,
10022,2,2,10,27,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,244801,2,24480105,1,471,444,496,1,18,244801,2,24480112,1,533,540,559,1,16,244801,2,24480116,1,564,559,572,577,,
10023,1,1,7,19,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,225585,3,22558515,2,NA,NA,NA,NA,,
10024,1,2,6,1,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,244708,1,24470815,1,555,577,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10025,2,1,8,24,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,169219,2,16921910,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10026,2,1,1,15,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,257905,4,25790508,2,487,484,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10027,1,1,10,2,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,264945,2,26494521,2,665,651,657,683,,
10028,1,2,6,21,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,244755,1,24475522,1,593,604,620,663,,
10029,1,2,5,25,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,244839,2,24483920,1,543,583,593,551,,
10030,1,2,8,4,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,244774,1,24477424,1,587,573,593,577,,
10031,1,2,5,2,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,169280,2,16928012,2,610,604,608,624,,
10032,1,2,2,19,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,244776,1,24477614,1,503,505,541,2,23,244776,1,24477615,1,573,577,606,2,22,244776,1,24477620,1,560,599,602,668,,
10033,1,1,3,6,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,128076,2,12807605,2,524,515,565,3,22,128076,2,12807608,2,637,620,593,1,16,208501,3,20850116,2,NA,NA,NA,NA,,
10034,1,1,6,16,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,244831,2,24483110,1,517,545,606,2,23,244831,2,24483115,1,NA,NA,NA,NA,,
10035,NA,NA,1,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,244806,1,24480618,NA,521,538,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10036,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,244755,1,24475522,1,NA,NA,NA,NA,,
10037,1,NA,6,12,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,244764,1,24476407,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10038,1,2,5,8,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,244727,2,24472718,2,569,582,608,601,,
10039,2,1,11,12,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,164198,3,16419804,1,457,497,568,2,24,164198,3,16419808,1,555,554,584,2,21,164198,3,16419812,1,600,567,613,632,,
10040,2,1,9,24,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,221574,3,22157410,2,NA,NA,NA,2,21,221574,3,22157414,2,NA,NA,NA,NA,,
10041,2,1,11,22,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,176329,3,17632906,1,430,486,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10042,2,1,7,10,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,203457,3,20345704,1,503,538,565,2,20,203457,3,20345708,1,542,572,581,2,22,203457,3,20345712,1,590,648,627,615,,
10043,2,1,7,25,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,257905,4,25790508,2,501,NA,NA,1,16,257905,4,25790518,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10044,1,1,11,3,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,264945,2,26494515,2,575,535,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10045,1,1,9,22,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,165199,4,16519904,1,590,578,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10046,1,1,11,20,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,212522,4,21252219,NA,NA,NA,NA,NA,,
10047,1,2,2,3,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,244776,1,24477611,1,478,572,551,3,24,244776,1,24477619,1,596,603,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10048,1,NA,7,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,201449,3,20144918,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10049,2,1,7,21,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,128079,3,12807904,1,527,481,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10050,1,1,5,17,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,221574,3,22157415,NA,614,616,672,637,,
10051,1,2,4,20,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,244727,2,24472707,NA,454,523,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10052,1,2,1,7,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,244774,1,24477420,1,NA,NA,NA,NA,,
10053,1,2,10,13,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,244764,1,24476405,1,471,523,538,2,27,244764,1,24476407,1,541,590,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10054,1,4,12,1,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,234628,3,23462810,1,564,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10055,2,1,12,3,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,161176,3,16117606,1,564,520,606,3,21,161176,3,16117611,NA,591,626,636,3,22,161176,3,16117615,2,631,631,672,610,,
10056,2,1,3,5,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,264945,2,26494515,2,608,554,613,2,28,264945,2,26494521,2,650,591,630,622,,
10057,1,1,6,2,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,176329,3,17632906,1,558,512,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10058,1,1,9,25,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,205488,2,20548813,1,552,552,561,582,,
10059,1,1,4,17,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,212522,4,21252210,NA,558,567,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10060,1,1,4,17,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,212522,4,21252209,NA,558,567,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10061,1,2,5,31,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,244774,1,24477416,1,520,531,523,3,26,244736,1,24473610,1,543,544,572,575,,
