"INTUBATION","VENTLUNG","ERRCAUTER","HRSAT","PULMEMBOLUS","SHUNT","VENTMACH","VENTTUBE","VENTALV","PVSAT","LVFAILURE","STROKEVOLUME","MINVOL","HR","CO","TPR","CATECHOL","FIO2","ARTCO2","INSUFFANESTH","HRBP","DISCONNECT","HISTORY","KINKEDTUBE","PRESS","HYPOVOLEMIA","LVEDVOLUME","CVP","MINVOLSET","HREKG","PAP","BP","EXPCO2","SAO2","PCWP","ANAPHYLAXIS","ERRLOWOUTPUT"
9.6839804699310639e-02,4.4271230135152095e-01,5.1549981058524819e-01,7.5744677994572018e-01,9.1146902084435721e-01,5.3137187480045356e-01,8.3152376312562315e-01,7.4593997488449348e-01,5.2203674164581559e-01,4.5032202595900206e-01,4.9620322549602891e-01,5.0502570580862205e-01,3.6110456072015024e-01,5.7508145430560720e-01,3.1167192778454533e-01,8.4910581113586769e-01,6.8156784835124284e-01,4.7680373623187333e-01,5.8952556926012190e-01,5.6851977342300852e-01,9.8650515065098698e-01,4.4530288767608317e-01,4.2986242366459915e-01,5.1267698715227850e-02,2.1200650792176301e-01,4.3372863894798686e-01,4.4053513247339104e-01,1.4452628184475580e-01,5.9096938183206960e-01,7.3679153606955383e-01,9.7866128079549564e-01,8.6014273705626687e-01,9.5544513618813209e-01,3.0435826517928743e-01,2.5815906889262585e-01,6.3278006136904197e-01,6.9697935923392929e-01
6.8617289968078832e-01,6.0606433552478312e-01,6.8236593237126031e-01,7.9328631726543475e-01,6.4491728443503082e-01,8.1289033351160322e-01,4.7768384877870895e-01,5.9140439329223571e-01,8.0837849884922530e-01,6.1888420766961427e-01,2.8637405987845921e-01,4.7966341851074601e-01,6.4362015797945926e-01,9.6529455526517338e-01,5.6996802712040218e-01,1.5547485754002177e-01,7.9772202975734552e-01,4.7370462732319085e-01,6.6553746145952553e-01,7.6902320004955649e-01,8.9175514820995549e-01,8.4203091390185025e-01,2.6846799172557845e-01,9.7776020652000240e-01,3.7893751006139503e-01,6.1841494188542323e-01,4.5216364652589980e-01,5.0723830108212342e-01,6.8021276495208305e-01,6.1117697984197783e-01,6.0002861200339741e-01,4.8253039278818599e-01,2.4752573965913990e-01,7.9843876414837300e-01,8.2689182362530511e-01,5.5024644189439531e-02,8.9818105281379235e-01
4.0127777893032723e-01,3.7064021261969110e-01,7.4425168734106473e-01,3.7302750685839647e-01,8.3899785823871253e-01,5.2129439097186536e-01,3.0675056808019513e-01,6.5204702353121302e-01,7.6396496488708943e-01,7.2202556298592602e-01,1.1464215320796045e-01,7.8293716141782843e-01,4.4666693057936568e-01,1.6711424740360420e-01,1.3255741115095462e-01,8.8458756772103109e-01,4.1950110558710962e-01,8.7991747960351940e-01,9.7206982080083271e-01,5.0517244916795301e-01,3.3008559146831651e-01,8.2175112907116565e-01,5.3297482880061059e-02,6.8390713734145070e-02,1.7722770252239428e-01,9.1549456722539491e-01,2.0396156694859963e-01,2.6451350913426919e-01,3.6930358298532662e-01,3.5400697004866544e-01,4.5072685042716948e-01,2.5621291815507941e-01,8.8929648123458993e-01,2.9267197885430596e-01,4.3514409734760939e-01,9.3245649757835136e-01,2.2702028233116955e-01
6.0237803275401602e-01,7.1482498472204392e-01,1.6278908355159416e-01,4.7335275573015106e-01,1.8782389491768536e-01,2.5587109968799332e-01,2.5017361125734594e-01,2.6930435986705897e-01,8.2131642119278014e-01,8.9637900991076713e-01,1.7757319384870907e-01,4.5728651736030529e-01,3.9032066980920799e-01,3.7686824241872041e-01,3.6506920815474497e-01,1.1939714080455449e-01,2.2223867209837639e-01,5.6122420614780166e-01,8.1558850674027650e-01,1.1494284089951279e-01,2.6944794289687413e-01,5.0295715560699206e-01,3.9313045942164265e-01,4.2797587119317271e-01,5.2741387207987334e-01,7.9918311437841871e-01,4.1344777941785343e-01,8.2356817130755433e-02,9.4983653968351733e-02,4.1506754384500261e-01,1.5868418059361189e-01,5.9274627871827612e-01,4.5403438303970456e-01,7.6817984051190069e-01,1.2407529469999856e-01,3.7284225810760518e-01,7.7906883613181943e-01
8.0224643339130908e-01,4.7895981518159797e-01,7.1309599355868203e-01,7.7628702456716092e-01,1.1103191139155943e-01,6.9001142961405748e-01,7.7990540931779018e-01,6.8175261925395769e-01,4.4106425526388560e-01,6.6007205027111626e-01,7.9235073048619697e-01,9.8003712753157013e-01,7.4866314264612632e-01,8.3018844193138852e-01,8.4474198609385598e-01,8.4031067335601251e-01,9.1075496127086097e-01,4.1440621831405666e-01,6.4953955114605000e-01,4.9024163677624855e-01,6.6599362527935302e-01,9.7918025331600522e-01,5.7930142190022538e-01,2.1339170247419914e-01,3.5809963841966047e-01,9.8612132415183806e-01,7.5508680012487561e-01,5.8109474189917931e-01,8.0452254669204692e-01,9.0787818575196355e-01,1.0445454692783805e-01,8.4508829219010062e-01,7.2284692259124794e-01,5.2233315438862882e-01,4.9856655258130389e-01,5.4133508373609018e-01,5.2281647151051103e-01
7.8680695874575912e-01,1.7555587591074956e-01,6.1322541275444342e-02,1.2407256679771073e-01,5.6664910858459816e-01,8.4061233428158766e-01,5.0603893965523383e-01,2.6644143550446669e-01,5.1121007314568379e-01,5.6468804580194182e-02,5.7881661476312618e-01,7.5887237656103268e-01,4.2208539168661946e-01,3.6418824301590902e-01,8.8379003241916076e-01,6.3929927303169976e-01,6.1638258240602684e-01,1.3919270787210758e-01,3.7482414424596788e-01,2.7956794819796760e-01,7.5767853460488555e-01,2.8139560939496966e-01,3.7750389953481139e-01,2.6482244959836532e-01,7.4213439904370193e-01,4.8846800370276089e-01,5.1117184391854087e-01,3.3947456830791756e-01,4.4561159798961647e-01,2.9358744749142457e-01,5.4312797161272719e-01,7.2860794087931757e-01,1.1076930636611640e-01,6.6258367831057685e-01,4.8647869980376263e-01,5.8071655421908219e-01,6.7017055716020746e-01
8.1689680827896338e-01,8.1136518823727610e-01,4.2503612149388004e-01,7.9956789997926236e-01,1.9097245452176237e-01,3.9800989601009595e-01,6.4648927260196598e-01,9.0366293161063105e-01,8.9875308486406891e-01,8.4861475292392252e-01,1.9335588349385091e-01,6.8231327902182870e-01,6.4310861530736918e-01,9.0525324469527857e-01,8.4826332288842743e-01,6.7290737880575846e-01,8.8427632490158814e-01,8.4864598843251349e-01,9.1207321260516772e-01,7.9065340336285583e-01,9.6664423657008713e-01,7.6091156922098069e-01,7.8335910236847467e-02,8.7242173918920241e-01,7.8030333970243482e-01,2.8400767616888700e-01,6.8171461678694689e-01,6.4303640939878881e-01,4.2589184313046213e-01,8.7136284184114166e-01,5.9110910598952471e-01,3.4199307810754087e-01,8.3176547011409030e-01,9.2864567070307547e-01,3.2472887697260522e-01,4.4365641281185053e-01,9.2757080794359714e-01
4.2836758369183592e-01,5.3313937933029742e-01,6.7890952577603048e-01,3.0293100516773291e-01,3.1824588654201102e-01,3.4828625440759325e-01,9.4514758188424675e-01,5.5488792561962985e-01,5.3438905791765812e-01,7.1658127610631905e-01,1.3345877310916543e-01,8.5270369953118291e-02,2.6949511105667462e-01,4.5159117024778969e-02,1.5988908936695273e-01,5.7071718132515343e-03,1.0900658617380296e-01,6.1084696033189512e-01,5.6240426995409176e-01,4.9838371272913018e-01,9.4879759371910899e-02,5.7877008903420557e-01,1.5670055980831479e-01,4.4312773743992984e-01,3.3278438755541512e-01,2.2845456318743484e-01,7.5959854883112826e-02,8.4877409616595970e-02,8.9863939873409882e-01,9.2679646855222619e-02,4.4709318845272739e-01,5.4634710558794056e-02,3.3464403631026740e-01,1.7481591386962303e-01,4.6610539765684050e-02,1.1587641025290196e-03,4.0207457134676750e-01
6.6058780255738547e-01,3.8446606277943690e-01,6.7692198254502656e-01,7.3264395205082278e-01,4.9591217606251825e-01,4.7000348428145200e-01,1.8787531183188480e-01,4.9674100273552257e-01,3.1338222003740757e-01,5.1110488985927627e-01,8.8235482855728420e-01,5.4305811289967021e-01,4.0982564186575909e-01,3.3033526821861903e-01,3.3085570800770431e-01,1.4967996177636125e-02,9.1184178061271451e-02,6.1762338416034157e-01,1.0324316458290145e-01,7.1013325835921215e-01,5.8246424498914073e-01,7.6215638819995113e-01,7.7713940710381180e-01,2.0791642043506631e-01,5.5234418988252609e-01,4.6597926178340532e-01,6.8166810449513282e-01,7.5329130883592466e-01,6.3208821894769951e-02,5.0948172614610399e-01,4.1039271415138046e-01,1.3328772927876859e-01,1.6174367399850806e-01,6.1448034225329573e-01,4.3617624891247075e-01,3.5585528790820886e-02,5.0250210505706505e-01
8.2419245190291268e-01,9.1091491191062568e-01,3.3653414012428495e-02,2.7150040442297979e-01,6.4727115180296768e-01,6.4514115941340933e-01,8.8884961173337695e-01,8.0132162600984747e-01,6.6087393812906736e-01,7.4546497983749538e-01,2.6289713474443865e-01,7.3578604184200425e-01,5.7318989700299416e-01,9.5771776387861807e-01,9.3802105019376858e-01,8.3744867333940404e-02,5.8352376686943297e-01,8.3197461804220341e-01,6.5530170882366512e-01,7.0828971585980582e-01,4.0099963349162226e-01,1.2172390927735721e-01,1.2401134989628868e-01,4.4905663652233008e-01,8.6422049247065158e-01,9.6233163760307816e-01,8.4421331687823975e-01,7.6996657408247371e-01,9.1144983408657376e-01,5.0193454675836602e-01,8.8189680033622553e-01,5.3262460349026430e-01,6.7289443154062023e-01,6.2765817333810503e-01,8.9482185660639102e-01,9.8444707190108005e-02,3.5550824288804295e-02
